               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 143,            0.026553,            0.017126,                   0,              0.9857,                   1,               0.995,             0.52864,            0.037287,            0.016274,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.032464,            0.019421,                   0,             0.98593,                   1,               0.995,             0.57319,            0.035181,            0.016107,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.036535,            0.025436,                   0,             0.98593,                   1,               0.995,             0.57319,            0.035181,            0.016107,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.039249,            0.020597,                   0,             0.98593,                   1,               0.995,             0.57319,            0.035181,            0.016107,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.037118,            0.020755,                   0,             0.98277,                   1,               0.995,             0.52436,            0.040786,            0.016503,                   0,            0.002773,            0.002773,            0.002773
                 148,             0.03899,            0.025471,                   0,             0.98277,                   1,               0.995,             0.52436,            0.040786,            0.016503,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,             0.03546,            0.017145,                   0,             0.98277,                   1,               0.995,             0.52436,            0.040786,            0.016503,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.034695,            0.023883,                   0,             0.98201,                   1,               0.995,             0.55272,            0.038106,            0.016513,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.033406,            0.021157,                   0,             0.98201,                   1,               0.995,             0.55272,            0.038106,            0.016513,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.032701,            0.015602,                   0,             0.98279,                   1,               0.995,             0.60622,            0.034381,            0.016091,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.035001,            0.035395,                   0,             0.98279,                   1,               0.995,             0.60622,            0.034381,            0.016091,                   0,            0.002476,            0.002476,            0.002476
                 154,            0.031441,            0.016026,                   0,             0.98279,                   1,               0.995,             0.60622,            0.034381,            0.016091,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.036501,            0.021031,                   0,             0.98272,                   1,               0.995,             0.57739,            0.035638,            0.016237,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.033323,            0.021627,                   0,             0.98272,                   1,               0.995,             0.57739,            0.035638,            0.016237,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.032036,            0.018905,                   0,             0.98272,                   1,               0.995,             0.57739,            0.035638,            0.016237,                   0,            0.002278,            0.002278,            0.002278
                 158,            0.031058,            0.019197,                   0,             0.98247,                   1,               0.995,             0.58708,            0.035224,             0.01603,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.031432,            0.022942,                   0,             0.98247,                   1,               0.995,             0.58708,            0.035224,             0.01603,                   0,            0.002179,            0.002179,            0.002179
                 160,            0.033182,            0.023641,                   0,             0.98342,                   1,               0.995,             0.63517,            0.034238,            0.015674,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,            0.032992,            0.015722,                   0,             0.98342,                   1,               0.995,             0.63517,            0.034238,            0.015674,                   0,             0.00208,             0.00208,             0.00208
                 162,            0.036565,            0.016904,                   0,             0.98342,                   1,               0.995,             0.63517,            0.034238,            0.015674,                   0,           0.0020305,           0.0020305,           0.0020305
                 163,            0.035951,            0.022216,                   0,             0.98503,                   1,               0.995,             0.60259,            0.033299,            0.015399,                   0,            0.001981,            0.001981,            0.001981
                 164,             0.02988,            0.018337,                   0,             0.98503,                   1,               0.995,             0.60259,            0.033299,            0.015399,                   0,           0.0019315,           0.0019315,           0.0019315
                 165,            0.028329,            0.013799,                   0,             0.98503,                   1,               0.995,             0.60259,            0.033299,            0.015399,                   0,            0.001882,            0.001882,            0.001882
                 166,            0.028599,            0.019768,                   0,              0.9863,                   1,               0.995,             0.58788,            0.032502,            0.015139,                   0,           0.0018325,           0.0018325,           0.0018325
                 167,            0.026226,            0.014835,                   0,              0.9863,                   1,               0.995,             0.58788,            0.032502,            0.015139,                   0,            0.001783,            0.001783,            0.001783
                 168,            0.029972,            0.025587,                   0,             0.98702,                   1,               0.995,             0.57383,            0.032581,              0.0151,                   0,           0.0017335,           0.0017335,           0.0017335
                 169,            0.035371,            0.020606,                   0,             0.98702,                   1,               0.995,             0.57383,            0.032581,              0.0151,                   0,            0.001684,            0.001684,            0.001684
